date, pm25, pm10, o3, no2, so2, co
8/22/2020,173,170,15,13,6,5
8/23/2020,141,245,17,17,12,6
8/24/2020,167,216,18,15,10,7
8/25/2020,159,206,11,12,8,6
8/26/2020,140,149,18,10,8,5
8/27/2020,128,302,12,15,10,6
8/28/2020,162,275,9,9,7,3
8/29/2020,151,186,10,12,9,5
8/30/2020,145,260,8,12,7,4
8/31/2020,155,208,9,9,8,5
9/1/2020,152,186,11,11,8,4
9/2/2020,152,157,11,6,5,3
9/3/2020,117,181,8,5,5,3
9/4/2020,131,102,10,4,4,3
9/5/2020,86,176,13,6,3,2
9/6/2020,80,58,10,8,3,3
9/7/2020,72,46,8,5,2,2
9/8/2020,76,73,7,7,4,3
9/9/2020,110,100,12,7,5,3
9/10/2020,145,100,13,13,4,5
9/11/2020,133,93,14,5,5,3
9/12/2020,122,105,15,6,4,3
9/13/2020,124,123,16,8,6,6
9/14/2020,133,175,23,13,9,5
9/15/2020,151,109,19,5,7,4
9/16/2020,152,84,1, , ,10
9/17/2020,153,125,5,4,4,8
9/18/2020,175,103,12,5,2,4
9/19/2020,139,54,3,4,2,5
9/20/2020,88,51,5,5,3,5
9/21/2020,286,264,18,21,3,10
9/22/2020,287,210,5,13,2,10
9/23/2020,293,98,6,8,2,7
9/24/2020,173,68,5,8,2,6
9/25/2020,148,43,141,4,2,4
9/26/2020,109,41, ,4,1,4
9/27/2020,99,75, ,8,3,5
9/28/2020,154,70,6,8,2,4
9/29/2020,148,101,7,11,2,6
9/30/2020,171,122,6,12,3,9
10/1/2020,197,110,4,11,2,8
10/2/2020,183,89,4,5,2,5
10/3/2020,159,102,4,6,1,7
10/4/2020,176,153,6,11,1,8
10/5/2020,215,155,4,10,1,7
10/6/2020,212,152,6,8,2,7
10/7/2020,206,194,7,12,2,10
10/8/2020,255,151,19,14,2,10
10/9/2020,222,108,6,8,2,7
10/10/2020,187,81,5,5,2,7
10/11/2020,163,91,4,9,2,7
10/12/2020,160,96,4,8,2,7
10/13/2020,155,111,6,8,1,7
10/14/2020,175,111,9,11,2,6
10/15/2020,171,108,11,11,3,5
10/16/2020,158,144,16,16,3,6
10/17/2020,177,125,232,12,4,5
10/18/2020,183,160,4,14,2,9
10/19/2020,232,144,7,11,3,8
10/20/2020,220,139,14,8,3,7
10/21/2020,212,100,8,5,2,6
10/22/2020,181,57,5,5,2,5
10/23/2020,119,91,7,10,2,8
10/24/2020,167,180,13,13,3,10
10/25/2020,212,132,14,13,3,7
10/26/2020,196,136,16,14,3,8
10/27/2020,196,77,9,6,2,5
10/28/2020,140,95,11,10,2,6
10/29/2020,148,105,14,11,3,5
10/30/2020,146,123,14,14,4,6
10/31/2020,157,168,18,16,3,8
11/1/2020,186,144,14,14,3,6
11/2/2020,198,131,15,15,3,6
11/3/2020,184,182,15,16,4,8
11/4/2020,207,144,103,15,3,7
11/5/2020,186,210,24,16,4,9
11/6/2020,201,109, ,14,3,5
11/7/2020,162,99, ,8,4,5
11/8/2020,163,135,1,15,4,6
11/9/2020,157,152,7,11,6,5
11/10/2020,185,113,9,7,5,6
11/11/2020,180,144,10,11,3,8
11/12/2020,210,128,13,10,3,6
11/13/2020,181,40,9,3,2,3
11/14/2020,57,58,10,6,4,4
11/15/2020,101,80,12,10,3,4
11/16/2020,113,110,12,14,3,6
11/17/2020,163,127,11,14,4,6
11/18/2020,163,113,17,11,6,6
11/19/2020,171,84,8,7,4,4
11/20/2020,139,78,7,6,4,4
11/21/2020,132, , , , , 
11/22/2020,172,155,1,15,5,7
11/23/2020,182,105,1,8,6,5
11/24/2020,138,98,5,7,7,5
11/25/2020,141,108,8,11,6,5
11/26/2020,148,121,17,12,9,5
11/27/2020,156,141,11,14,10,7
11/28/2020,180,192,7,14,8,9
11/29/2020,202,189, ,15,9,7
11/30/2020,205,123,16,11,7,5
12/1/2020,161,139,12,11,7,7
12/2/2020,183,144,10,9,4,7
12/3/2020,209,122,15,8,5,7
12/4/2020,180,142,11,12,5,7
12/5/2020,183,174,9,13,6,8
12/6/2020,203,115,9,8,6,4
12/7/2020,154,206,10,15,8,6
12/8/2020,186,237,10,16,7,7
12/9/2020,195,135,8,12,6,4
12/10/2020,160,144,15,9,10,5
12/11/2020,162,174,11,10,11,6
12/12/2020,184,312,12,22,10,9
12/13/2020,209,289,9,17,14,8
12/14/2020,220,332,13,18,20,8
12/15/2020,250,225,24,19,14,8
12/16/2020,219,122,13,12,10,5
12/17/2020,143,80,11,6,2,6
12/18/2020,146,70,10,6,2,4
12/19/2020,118,73,6,4,2,4
12/20/2020,91,68,17,6,2,5
12/21/2020,100,72,15,6,3,5
12/22/2020,124,89,22,9,2,5
12/23/2020,148,117,24,11,3,6
12/24/2020,155,122,20,12,3,6
12/25/2020,157,114,18,11,3,7
12/26/2020,150,123,14,10,3,7
12/27/2020,154,123,16,11,3,7
12/28/2020,150,139,23,12,3,6
12/29/2020,174,122,22,14,3,6
12/30/2020,163,112,28,14,3,7
12/31/2020,168,186,29,18,4,10
1/1/2021,222,151,6,7,2,7
1/2/2021,180,47,8,3,2,4
1/3/2021,33,65,17,7,2,5
1/4/2021,120,129,24,14,2,7
1/5/2021,179,139,20,16,3,6
1/6/2021,154,102,16,11,3,5
1/7/2021,132,110,22,15,3,7
1/8/2021,154,102,20,12,3,6
1/9/2021,158,60,20,9,3,5
1/10/2021,97,107,21,14,3,6
1/11/2021,146,159,24,17,3,6
1/12/2021,182,193,24,19,4,8
1/13/2021,195,177,23,20,5,8
1/14/2021,217,147,18,17,4,6
1/15/2021,198,200,18,19,6,9
1/16/2021,237,217,23,22,6,10
1/17/2021,230,174,21,18,5,8
1/18/2021,232,201,25,21,6,10
1/19/2021,279,338,16,18,4,13
1/20/2021,409,371,13,14,3,12
1/21/2021,460,263,18,14,5,10
1/22/2021,364,321,19,20,5,10
1/23/2021,376,307,21,22,7,10
1/24/2021,360,397,20,28,9,12
1/25/2021,396,312,23,24,8,12
1/26/2021,326,527,9,32,8,18
1/27/2021,430,438,16,23,4,15
1/28/2021,425,228,11,26,5,11
1/29/2021,224,269,20,25,6,11
1/30/2021,289,295,19,27,6,13
1/31/2021,319,337,21,23,7,12
2/1/2021,355,270,18,22,5,12
2/2/2021,305,282,19,26,9,13
2/3/2021,294,280,20,27,7,12
2/4/2021,313,277,21,21,7,11
2/5/2021,319,171,13,17,6,9
2/6/2021,230,153,17,10,6,6
2/7/2021,193,235,19,23,7,11
2/8/2021,234,292,29,26,4,13
2/9/2021,286,233,31,21,5,11
2/10/2021,314,268,18,24,5,13
2/11/2021,307,197,18,18,3,10
2/12/2021,278,176,13,14,4,11
2/13/2021,285,217,14,20,3,11
2/14/2021,271,199,15,19,5,10
2/15/2021,236,335,11,25,5,14
2/16/2021,353,224,4,18,5,10
2/17/2021,323,164,10,16,3,9
2/18/2021,262,174,12,18,3,11
2/19/2021,236,217,15,21,4,11
2/20/2021,258,122,10,14,5,7
2/21/2021,181,103,9,14,2,5
2/22/2021,154,130,11,17,5,7
2/23/2021,186,174,11,21,4,9
2/24/2021,219,138,12,19,4,7
2/25/2021,192,162,13,19,5,9
2/26/2021,198,194,12,23,4,11
2/27/2021,242,200,12,20,3,11
2/28/2021,250,192,14,17,4,10
3/1/2021,263,221,13,16,4,10
3/2/2021,243,225,9,19,4,9
3/3/2021,271,138,12,13,5,6
3/4/2021,207,116,10,10,2,6
3/5/2021,185,137,12,15,3,7
3/6/2021,212,210,13,19,4,9
3/7/2021,262,348,12,24,4,14
3/8/2021,323,255,14,21,4,11
3/9/2021,302,259,15,22,4,11
3/10/2021,328,255,15,19,3,11
3/11/2021,323,260,12,19,3,13
3/12/2021,349,279,7,15,2,12
3/13/2021,359,80,9,10,3,6
3/14/2021,158,90,4,15,3,6
3/15/2021,165,108,7,15,2,7
3/16/2021,173,165,9,17,3,9
3/17/2021,215,160,10,20,2,8
3/18/2021,211,244,10,21,3,11
3/19/2021,278,225,10,20,5,10
3/20/2021,286,250,14,20,3,11
3/21/2021,120,214,8,9,3,3
3/22/2021,134,88,7,11,3,3
3/23/2021,98,114,14,16,3,5
3/24/2021,143,119,12,14,2,3
3/25/2021,131,122,16,12,3,4
3/26/2021,116,157,14,16,3,4
3/27/2021,129,170,16,11,8,6
3/28/2021,120,78,16,8,3,4
3/29/2021,116,72,9,8,3,4
3/30/2021,112,76,10,7,2,3
3/31/2021,117,65,7,7,2,3
4/1/2021,102,37,2,7,3,3
4/2/2021,56,44,3,7,2,4
4/3/2021,84,46,4,3,3,4
4/4/2021,92,61,10,4,2,4
4/5/2021,109,85,18,6,3,4
4/6/2021,151,63,6,10,2,4
4/7/2021,104,33,2,6,2,3
4/8/2021,47,38,6,6,2,4
4/9/2021,81,47,11,7,3,5
4/10/2021,88,33,5,2,2,3
4/11/2021,69,46,11,4,2,4
4/12/2021,94,56,12,5,2,4
4/13/2021,123,31,2,3,2,8
4/14/2021,60,53,5,5,2,5
4/15/2021,119,45,1,7,1,5
4/16/2021,107,23,1,7, ,4
4/17/2021,50,41,2,5,2,4
4/18/2021,72,34,3,4,2,4
4/19/2021,69,29,6,3,1,4
4/20/2021,64,52,3,6,2,4
4/21/2021,78,43,5,5,2,4
4/22/2021,93,37,14,3,2,4
4/23/2021,79,30,7,3,1,3
4/24/2021,66,42,6,4,1,5
4/25/2021,80,44,8,4,1,4
4/26/2021,95,45,4,6,2,4
4/27/2021,99,42,5,6,1,4
4/28/2021,93,52,10,8,2,5
4/29/2021,119,82,3,7,3,4
4/30/2021,99,84,6,6,2,3
5/1/2021,93,83,6,5,2,4
5/2/2021,86,75,8,6,2,4
5/3/2021,92,75,9,4,2,3
5/4/2021,88,78,9,5,2,3
5/5/2021,92,82,9,5,2,4
5/6/2021,100,100,10,6,2,5
5/7/2021,135,108,15,9,2,5
5/8/2021,152,92,14,7,1,5
5/9/2021,161,53,9,6,2,4
5/10/2021,107,28,3,2,2,4
5/11/2021,64,42,9,5,3,5
5/12/2021,109,48,16,5,2,4
5/13/2021,95,58,5,7,2,5
5/14/2021,116,81,7,7,2,5
5/15/2021,101,86,7,5,1,4
5/16/2021,85,99,8,5,2,4
5/17/2021,106,86,14,7,2,5
5/18/2021,129,78,12,5,2,4
5/19/2021,140,33,6,3,3,4
5/20/2021,74,31,2,4,2,5
5/21/2021,58,25,3,3,2,4
5/22/2021,61,37,7,5,2,4
5/23/2021,55,43,15,3,2,5
5/24/2021,67,32,16,5,2,5
5/25/2021,65,65,20,10,2,7
5/26/2021,136,55,13,6,2,5
5/27/2021,128,50,7,4,2,4
5/28/2021,110,36,7,4,2,4
5/29/2021,68,43,8,5,2,5
5/30/2021,86,42,9,3,2,4
5/31/2021,87,36,6,3,2,5
6/1/2021,45,46,14,5,2,4
6/2/2021,76,39,6,3,2,4
6/3/2021,75,39,5,3,2,4
6/4/2021,69,48,10,5,2,5
6/5/2021,67,76,4,7,2,5
6/6/2021,84,27,6,2,2,4
6/7/2021,59,34,10,2,2,5
6/8/2021,79,50,10,5,2,5
6/9/2021,95,56,16,6,2,5
6/10/2021,106,59,12,7,2,5
6/11/2021,110,40,11,4,2,4
6/12/2021,68,49,12,3,2,4
6/13/2021,77,28,8,3,2,4
6/14/2021,60,30,9,2,2,4
6/15/2021,66,35,11,3,2,4
6/16/2021,85,64,15,6,2,5
6/17/2021,132,47,13,3,2,4
6/18/2021,79,52,12,5,3,5
6/19/2021,98,74,17,8,2,6
6/20/2021,129,91,18,9,2,7
6/21/2021,102,122,38,15,17,10
6/22/2021,133,115,47,16,16,8
6/23/2021,130,130,42,17,17,11
6/24/2021,145,131,74,17,15,9
6/25/2021,149,187,69,13,18,17
6/26/2021,202,126,47,9,9,12
6/27/2021,140,108,45,13,11,10
6/28/2021,124,138,51,16,12,12
6/29/2021,129,140,47,18,13,12
6/30/2021,142,145,44,17,16,14
7/1/2021,145,250,50,20,17,16
7/2/2021,196,225,44,18,18,15
7/3/2021,193,148,40,13,14,8
7/4/2021,143,212,44,14,18,14
7/5/2021,181,147,9,15,23,14
7/6/2021,136,75, ,9,12,7
7/7/2021,111,128, ,10,15,8
7/8/2021,154,177, ,13,13,8
7/9/2021,130,177, ,11,17,8
7/10/2021,134,82, ,7,9,9
7/11/2021,114,103, ,9,10,9
7/12/2021,133,97, ,7,11,9
7/13/2021,128,84, ,10,8,9
7/14/2021,108,139, ,13,11,12
7/15/2021,149,303,45,21,19,10
7/16/2021,247,366,83,23,16,9
7/17/2021,254,374,77,20,18,9
7/18/2021,276,355,69,15,14,9
7/19/2021,241,275,62,12,13,9
7/20/2021,183,168,80,9,7,6
7/21/2021,154,163,47,8,6,7
7/22/2021,140,135,40,9,7,14
7/23/2021,134,134,43,8,10,11
7/24/2021,145,127,69,7,10,16
7/25/2021,156,133,44,8,9,15
7/26/2021,147,75,51,12,6,9
7/27/2021,128,102,76,13,8,11
7/28/2021,158,101,82,9,10,14
7/29/2021,152,82,47,11,6,10
7/30/2021,140,110,66,11,9,11
7/31/2021,156,112,34,7,6,10
8/1/2021,133,69,11,7,5,11
8/2/2021,123,90,22,10,4,26
8/3/2021,138,155,31,11,6,30
8/4/2021,121,96,55,11,11,11
8/5/2021,151,152,19,20,11,11
8/6/2021,176,57,4,9,4,11
8/7/2021,81,46,1,6,3,13
8/8/2021,105,65,2,6,3,9
8/9/2021,88,51,1,7,2,6
8/10/2021,84,56,1,7,3,8
8/11/2021,84,348,2,8,3,11
8/12/2021,177,92,20,8,4,7
8/13/2021,126,98,29,10,6,10
8/14/2021,93,91,23,13,7,10
8/15/2021,115,118,15,10,6,7
8/16/2021,123,79,1,7,3,13
8/17/2021,100,70,1,5,3,12
8/18/2021,64,100,1,6,3,9
8/19/2021,75,115,26,9,7,8
8/20/2021,128,119,37,6,4,7
8/21/2021,80,81,58,8,6,11
8/22/2021,124,102,90,7,8,11
8/23/2021,156,118,80,6,6,5
8/24/2021,157,84,51,9,9, 
8/25/2021,124,108,60,8,5,9
8/26/2021,125,125,56,9,8,9
8/27/2021,141,403,20,16,6,16
8/28/2021,156,319,27,13,5,17
8/29/2021,137,172,34,11,4,17
8/30/2021,145,138,19,10,3,10
8/31/2021,123,70,26,11,4,5
9/1/2021,102,68,28,12,6,5
9/2/2021,118,77,51,12,6,5
9/3/2021,118,86,33,11,4,4
9/4/2021,100,62,34,11,5,5
9/5/2021,107,58,25,11,4,5
9/6/2021,112,55,24,10,5,5
9/7/2021,104,46,23,8,8,4
9/8/2021,84,32, ,8,3,3
9/9/2021,60,57,1,10,5,4
9/10/2021,96,127,4,13,7,5
9/11/2021,128,194,2,14,12,5
9/12/2021,152,126,1,11,4,5
9/13/2021,127,120,2,12,6,4
9/14/2021,130,101,18,16,5,5
9/15/2021,103,137,20,12,2,5
9/16/2021,158,149,11,17,2,6
9/17/2021,161,197,18,25,3,5
9/18/2021,148,365,10,17,6,4
9/19/2021,149,209,10,10,5,4
9/20/2021,139,45,9,5,4,4
9/21/2021,108,85,7,7,5,5
9/22/2021,171,92,11,5,4,3
9/23/2021,173,128,12,5,10,3
9/24/2021,203,108,15,5,7,3
9/25/2021,188,100,18,4,6,3
9/26/2021,180,103,20,6,3,3
9/27/2021,179,125,17,7,3,5
9/28/2021,207,156,24,7,4,7
9/29/2021,232,211,15,10,5,8
9/30/2021,294,325,28,11,5,9
10/1/2021,366,146,15,9,4,5
10/2/2021,228,171,21,7, ,6
10/3/2021,282,168,20,11,6,6
10/4/2021,255,203,22,13,5,6
10/5/2021,277,134,19,11,5,5
10/6/2021,222,176,20,15,4,10
10/7/2021,229,195,10,14,4,9
10/8/2021,282,151,30,15,4,9
10/9/2021,224,174,9,10,4,11
10/10/2021,250,156,22,9,4,13
10/11/2021,208,199,41,9,5,9
10/12/2021,268,226,37,16,8,7
10/13/2021,240,267,28,15,6,11
10/14/2021,321,243,34,16,6,10
10/15/2021,260,215,28,20,8,5
10/16/2021,260,274,44,17,6,9
10/17/2021,286,218,30,21,7,8
10/18/2021,264,352,4,21,9,12
10/19/2021,347,186,1,15,5,6
10/20/2021,262,101,9,8,5,4
10/21/2021,179,85,27,13,6,4
10/22/2021,144,98,31,11,7,4
10/23/2021,167,142,35,12,7,6
10/24/2021,206,201,40,16,8,7
10/25/2021,250,208,13,17,8,11
10/26/2021,224,210,12,21,7,6
10/27/2021,245,204,3,19,7,7
10/28/2021,232,213,3,16,7,8
10/29/2021,262,156,15,16,5,9
10/30/2021,220,140,37,16,4,7
10/31/2021,207,182,39,18,6,9
11/1/2021,240,186,43,20,7,9
11/2/2021,235,223,35,19,5,9
11/3/2021,217,155,38,16,5,9
11/4/2021,210,151,29,16,5,8
11/5/2021,212,110,30,15,4,7
11/6/2021,173,198,40,17,7,6
11/7/2021,232,180,38,13,7,5
11/8/2021,169,275,30,33,9,7
11/9/2021,243,277,46,17,15,8
11/10/2021,215,283,34,18,14,9
11/11/2021,234,177,31,16,9,8
11/12/2021,166,137,30,12,8,4
11/13/2021,139,137,38,12,10,3
11/14/2021,150,131,37,12,9,3
11/15/2021,147,119,39,7,9,2
11/16/2021,146,180,42,12,12,4
11/17/2021,178,208,103,16,10,6
11/18/2021,223,159,46,16,8,5
11/19/2021,185, , , , , 
11/20/2021,173,158,53,5,7,4
11/21/2021,187,193,89,8,11,10
11/22/2021,202,115,45,11,11,4
11/23/2021,148,166,53,13,12,7
11/24/2021,182,154,28,11,8,5
11/25/2021,166,131,35,8,10,7
11/26/2021,168,132,33,10,12,8
11/27/2021,168,163,7,11,12,9
11/28/2021,193,216,22,9,12,8
11/29/2021,179,281,30,12,13,7
11/30/2021,194,300,35,15,12,7
12/1/2021,184,168,41,10,10,7
12/2/2021,161,171, ,15,14,7
12/3/2021,177,320,21,25,24,8
12/4/2021,255,135,32,13,9,6
12/5/2021,149,170,24,16,9,11
12/6/2021,137,124,34,12,10,11
12/7/2021,148,86,32,9,8,11
12/8/2021,120,88,37,10,9,11
12/9/2021,130,199,45,14,19,13
12/10/2021,193,192,48,20,10,12
12/11/2021,175, , , , , 
12/12/2021,74,129,36,6,10,11
12/13/2021,131,118,3,8,6,6
12/14/2021,158,117,3,11,5,6
12/15/2021,146,121,4,9,6,6
12/16/2021,156,118,8,7,4,5
12/17/2021,141,128,3,9,6,6
12/18/2021,150,160,6,7,7,7
12/19/2021,176,164,8,7,7,7
12/20/2021,173,140,9,6,6,7
12/21/2021,167,151,10,5,8,7
12/22/2021,176,140,10,9,8,13
12/23/2021,172,226,13,12,8,11
12/24/2021,199,183,14,18,6,9
12/25/2021,203,148,11,28,6,7
12/26/2021,193,271,10,34,8,11
12/27/2021,217,281,15,39,11,8
12/28/2021,236,309,20,38,9,9
12/29/2021,222,150,15,23,6,6
12/30/2021,165,169,18,24,6,6
12/31/2021,190,199,8,34,12,7
1/1/2022,183,294,32,26,10,14
1/2/2022,211,454,40,39,12,19
1/3/2022,274,490,50,38,10,19
1/4/2022,343,413,61,37,9,24
1/5/2022,296,336,40,26,7,15
1/6/2022,276,320,49,23,9,14
1/7/2022,267,222,40,19,7,10
1/8/2022,239,341,51,27,9,11
1/9/2022,265,468,57,29,9,13
1/10/2022,347,348,47,27,9,9
1/11/2022,304,345,38,25,6,10
1/12/2022,331,412,42,22,9,10
1/13/2022,381,315,51,19,9,10
1/14/2022,287,282,44,23,8,11
1/15/2022,244,550,45,22,11,13
1/16/2022,454,423,50,24,9,11
1/17/2022,387,422,40,35,13,13
1/18/2022,333,509,50,34,11,18
1/19/2022,403,562,53,37,10,18
1/20/2022,455,706,53,39,10,21
1/21/2022,551,605,68,38,7,19
1/22/2022,563,140,43,23,6,8
1/23/2022,221,220,48,30,7,10
1/24/2022,224,349,60,33,6,12
1/25/2022,307,497,43,25,8,14
1/26/2022,478,324,53,13,8,10
1/27/2022,377,82,29,9,6,4
1/28/2022,153,85,30,14,6,5
1/29/2022,151,125,41,19,5,6
1/30/2022,185,213,41,25,7,10
1/31/2022,253,157, ,18,6,7
2/1/2022,215,107, ,9,6,7
2/2/2022,174, , , , , 
2/3/2022,195,247, ,30,8,15
2/4/2022,305,271, ,20,8,16
2/5/2022,358,126, ,14,7,8
2/6/2022,203,82,17,11,6,5
2/7/2022,151,135,41,15,7,9
2/8/2022,184,217,55,24,8,10
2/9/2022,230,256,58,22,8,10
2/10/2022,264,329,63,29,9,15
2/11/2022,298,274,59,24,7,11
2/12/2022,277,264,57,29,8,10
2/13/2022,271,369,96,32,9,16
2/14/2022,372,291,43,19,7,11
2/15/2022,341,284,9,23,7,11
2/16/2022,336,248, ,18,5,11
2/17/2022,299,255,1,21,9,12
2/18/2022,263,259,6,17,9,12
2/19/2022,272,144,5,14,7,7
2/20/2022,183,259,7,28,7,14
2/21/2022,242,233,3,11,4,13
2/22/2022,323,99,15,7,4,5
2/23/2022,175,96,23,5,6,4
2/24/2022,169,107,24,8,9,5
2/25/2022,184,102,19,9,5,4
2/26/2022,174,115,18,7,4,6
2/27/2022,192,132,32,12,6,6
2/28/2022,208,143,30,16,6,5
3/1/2022,212,140,36,15,7,6
3/2/2022,215,229,35,19,12,9
3/3/2022,248,448,27,22,8,14
3/4/2022,364,520,26,23,7,20
3/5/2022,432,380,35,16,5,14
3/6/2022,389,206,30,17,5,9
3/7/2022,264,224,32,16,5,13
3/8/2022,282,251,33,13,5,16
3/9/2022,307,161,24,12,6,7
3/10/2022,165,143,27,11,4,7
3/11/2022,182,120,23,8,3,7
3/12/2022,190,222,14,13,4,8
3/13/2022,282,246,12,9,4,13
3/14/2022,322,265,14,14,4,8
3/15/2022,368,151,13,9,4,5
3/16/2022,230,58,12,8,5,4
3/17/2022,137,87,26,8,3,4
3/18/2022,146,96,9,3,4,4
3/19/2022,147,70,10,2,4,3
3/20/2022,123,39,13, ,3,3
3/21/2022,75,52,8,4,3,2
3/22/2022,129,38,4,4,3,2
3/23/2022,75,33,8,1,3,3
3/24/2022,87,56,12,1,3,5
3/25/2022,121,55,5,4,3,2
3/26/2022,86,46,4,5,3,3
3/27/2022,76,38,9,4,4,7
3/28/2022,74,70,16,4,4,4
3/29/2022,90,95,21,4,4,4
3/30/2022,109,60,18,3,3,4
3/31/2022,98,50,13,3,4,6
4/1/2022,95,57,14,3,3,5
4/2/2022,128,46,10,2,4,17
4/3/2022,91,38,12,2,3,14
4/4/2022,81,36,20,2,4,15
4/5/2022,64,38,13,2,4,16
4/6/2022,76,37,8,3,3,10
4/7/2022,82,54,38,4,3,15
4/8/2022,100,55,19,5,3,10
4/9/2022,116,38,7,4,4,33
4/10/2022,80, , , , , 
4/11/2022,70,60,9,9,3,25
4/12/2022,74,58,11,5,3,10
4/13/2022,78,38,10,4,3,4
4/14/2022,61,46,12,4,4,8
4/15/2022,94,46,15,3,4,5
4/16/2022,82,45,2,16,3,8
4/17/2022,73,56,10,10,4,1
4/18/2022,72,48,7,1,4,5
4/19/2022,73,58,3,2,5,5
4/20/2022,99,39,3, ,4,3
4/21/2022,55,39,6, ,5,9
4/22/2022,70,51,8,2,5,5
4/23/2022,104,45,2,1,5,4
4/24/2022,92,49,4,2,4,3
4/25/2022,103,54,2,2,4,3
4/26/2022,110,46,3,3,4,6
4/27/2022,67,35,3,2,4,16
4/28/2022,57,31,2,2,4,13
4/29/2022,58,51,1,4,4,17
4/30/2022,104,52,3,5,4,16
5/1/2022,86,55,16,20,5,15
5/2/2022,91,60,98,16,4,14
5/3/2022,76,44,18,24,3,16
5/4/2022,59,29,3,13,3,5
5/5/2022,47,24, ,6,3,2
5/6/2022,28,22, ,5,3,1
5/7/2022,36,30, ,4,3,2
5/8/2022,54,34, ,6,3,2
5/9/2022,52,44, ,8,4,3
5/10/2022,66,48, ,8,2,3
5/11/2022,52,53, ,6,2,2
5/12/2022,69,51, ,7,4,2
