date, pm25, pm10, o3, no2, so2, co
5/13/2022,80,40, ,7,3,3
5/14/2022,78,25,2,4,4,1
5/15/2022,40,29,3,6,2,2
5/16/2022,47,49,4,9,2,3
5/17/2022,60,49,6,6,3,7
5/18/2022,74,54,5,6,3,5
5/19/2022,109,81,3,7,4,6
5/20/2022,127,72,9,8,3,6
5/21/2022,135,46,6,4,3,4
5/22/2022,93,60,4,6,3,5
5/23/2022,109,56,5,6,3,5
5/24/2022,93,75,4,6,4,5
5/25/2022,121,78,4,6,3,5
5/26/2022,123,106,4,6,6,6
5/27/2022,137,100,1,5,4,7
5/28/2022,149, , , , , 
5/29/2022,147,107,1,8,5,6
5/30/2022,153,114,1,13,4,1
5/31/2022,148,79,1,8,3,1
6/1/2022,108,82,1,8,4,1
6/2/2022,121,96,1,11,4,1
6/3/2022,146,93,1,6,4,1
6/4/2022,151,93,1,8,4, 
6/5/2022,148,70, ,9,5, 
6/6/2022,112,49, ,7,5, 
6/7/2022,82,69, ,9,5, 
6/8/2022,111,103, ,10,5, 
6/9/2022,145,126,1,11,5,7
6/10/2022,146,83,2,17,5,10
6/11/2022,102,125,2,22,6,7
6/12/2022,144,127,2,18,6,7
6/13/2022,155,101,2,14,5,5
6/14/2022,129,110,2,11,6,5
6/15/2022,98,56,18,12,5,4
6/16/2022,77,61,23,14,5,6
6/17/2022,80,73,22,16,7,4
6/18/2022,107,86,25,16,6,4
6/19/2022,132,96,21,16,7,6
6/20/2022,129,77,19,13,4,5
6/21/2022,81,67,21,13,6,5
6/22/2022,80,71,23,15,7,6
6/23/2022,94,90,24,17,7,6
6/24/2022,116,91,27,14,9,5
6/25/2022,121,75,24,12,8,5
6/26/2022,92,107,24,15,10,6
6/27/2022,128,133,27,16,10,6
6/28/2022,155,150,31,12,9,5
6/29/2022,145,151,42,14,12,7
6/30/2022,149,75,32,7,7,4
7/1/2022,73,81,33,7,6,5
7/2/2022,74,69,33,8,7,5
7/3/2022,83,102,27,12,6,7
7/4/2022,115,82,33,9,7,6
7/5/2022,108,118,37,11,7,5
7/6/2022,122,110,32,10,8,6
7/7/2022,128,121,45,12,8,7
7/8/2022,149,86,36,8,5,4
7/9/2022,87,100,26,8,8,4
7/10/2022,109,52,36,6,6,5
7/11/2022,84,78,40,7,9,7
7/12/2022,130,97,43,8,7,7
7/13/2022,143,98,44,8,8,7
7/14/2022,134,107,47,9,9,6
7/15/2022,155,85,38,9,7,6
7/16/2022,102,78,29,9,6,5
7/17/2022,114,52,32,8,6,4
7/18/2022,92,85,41,11,8,6
7/19/2022,127,114,39,9,11,6
7/20/2022,151,60,46,8,6,5
7/21/2022,89,99,55,11,9,7
7/22/2022,141,92,56,10,7,6
7/23/2022,145,112,32,9,7,6
7/24/2022,127,77,51,10,9,7
7/25/2022,138,75,46,9,9,6
7/26/2022,128,120,44,11,10,8
7/27/2022,170,100,57,14,6,6
7/28/2022,155,74,44,13,9,6
7/29/2022,115,95,48,13,9,6
7/30/2022,147,137,62,14,12,6
7/31/2022,178,127,50,9,10,6
8/1/2022,170,148,56,10,7,6
8/2/2022,175,107,49,8,8,5
8/3/2022,144,111,43,6,8,5
8/4/2022,127,168,69,8,13,5
8/5/2022,182,134,21,5,5,5
8/6/2022,122,124,23,5,6,5
8/7/2022,136,106,29,6,7,6
8/8/2022,125,154,33,8,10,6
8/9/2022,151,120,53,4,6,5
8/10/2022,126,146,24,2,4,5
8/11/2022,101,53,14,3,3,4
8/12/2022,81,49,27,4,3,4
8/13/2022,87,38,14,3,2,4
8/14/2022,78,45,26,3,3,5
8/15/2022,100,67,38,4,4,4
8/16/2022,107,78,36,5,5,5
8/17/2022,121,112,32,6,4,6
8/18/2022,161,71,43,6,5,5
8/19/2022,124,75,47,4,5,5
8/20/2022,125,65,34,3,5,5
8/21/2022,105,70,42,3,6,5
8/22/2022,121,90,53,4,6,6
8/23/2022,142,125,50,6,6,6
8/24/2022,139, , , , , 
8/25/2022,149,103,24,5,4,5
8/26/2022,159, , , , , 
8/27/2022,141,78,33,8,4,2
8/28/2022,116,71,24,1,4,3
8/29/2022,108,69,15,3,4,4
8/30/2022,111,116,18,1,4,2
8/31/2022,132,70,10,2,4,3
9/1/2022,94,79,11,3,4,3
9/2/2022,128,59,13,3,5,2
9/3/2022,114,45,5,3,4,1
9/4/2022,93,49,6,3,4,2
9/5/2022,109,68,6,2,5,4
9/6/2022,122,77,7,4,5,3
9/7/2022,122,125,2,8,4,4
9/8/2022,112,210,3,5,4,4
9/9/2022,132,154,4,3,4,4
9/10/2022,122,78,11,2,4,5
9/11/2022,131,84,11,4,4,3
9/12/2022,292,198,23,23,7,15
9/13/2022,275,201,27,21,6,16
9/14/2022,260,203,25,22,5,13
9/15/2022,273,152,29,18,5,9
9/16/2022,239,132,10,18,6,9
9/17/2022,226,83,10,13,4,8
9/18/2022,171,74,7,11,2,7
9/19/2022,161,76,12,8,3,6
9/20/2022,161,103,17,13,5,7
9/21/2022,182,134,28,22,5,13
9/22/2022,191,167,24,22,7,7
9/23/2022,227,180,18,19,3,10
9/24/2022,285,93,9,13,4,9
9/25/2022,177,107,8,15,5,9
9/26/2022,183,112,3,14,4,8
9/27/2022,192,90,4,9,4,9
9/28/2022,176,96,5,14,4,10
9/29/2022,174,96,4,7,3,6
9/30/2022,177,129, ,10,3,8
10/1/2022,199,222,12,18,6,20
10/2/2022,295,123,12,15,7,11
10/3/2022,200,76,22,9,5,8
10/4/2022,142,86,28,12,6,8
10/5/2022,157,160,16,23,8,16
10/6/2022,227,212,12,12,5,16
10/7/2022,283,143,4,20,7,15
10/8/2022,234,96,3,22,5,10
10/9/2022,177,84,5,20,5,8
10/10/2022,155,79,4,21,5,6
10/11/2022,151,90,5,21,4,9
10/12/2022,161,106,4,21,3,11
10/13/2022,181,101,4,22,3,9
10/14/2022,178,133,6,26,5,11
10/15/2022,202,150,5,24,5,9
10/16/2022,228,143,5,22,5,9
10/17/2022,213,120,5,21,5,8
10/18/2022,201,117,6,21,5,8
10/19/2022,192,133,5,22,6,7
10/20/2022,237,140,5,21,6,7
10/21/2022,194,170,7,27,6,10
10/22/2022,215,159,6,21,7,8
10/23/2022,218,99,27,16,8,6
10/24/2022,168,93,36,14,8,6
10/25/2022,153,107,42,18,11,5
10/26/2022,173,181,43,25,14,7
10/27/2022,237,213,33,28,10,8
10/28/2022,242,160,45,27,13,8
10/29/2022,211,198,38,30,9,11
10/30/2022,229,125,38,18,7,9
10/31/2022,189,50,24,11,5,4
11/1/2022,101,65,29,17,9,8
11/2/2022,116,98,29,18,7,7
11/3/2022,163,80,28,21,8,6
11/4/2022,134,154,23,25,9,8
11/5/2022,198,193,31,19,11,8
11/6/2022,216,132,36,20,6,8
11/7/2022,188,120,24,17,5,7
11/8/2022,171,89,14,15,4,6
11/9/2022,140,61,24,16,5,5
11/10/2022,117,114,24,20,7,10
11/11/2022,170,79,4,18,5,7
11/12/2022,132,99,17,17,4,7
11/13/2022,152,39,10,13,5,4
11/14/2022,82,27,11,13,5,4
11/15/2022,66,54,16,14,5,6
11/16/2022,108,67,17,16,5, 
11/17/2022,137,71,17,14,5,5
11/18/2022,105,89,21,12,7,5
11/19/2022,143,72,20,12,6,6
11/20/2022,140,79,18,14,5,5
11/21/2022,127,137,21,16,7,7
11/22/2022,169,46,11,9,6,6
11/23/2022,100,66,17,11,5,5
11/24/2022,127,82,16,15,7,6
11/25/2022,143,86,17,20,6,6
11/26/2022,127,86,26,22,7,7
11/27/2022,120,131,30,18,9,7
11/28/2022,169,116,30,21,8,8
11/29/2022,162,158,31,24,14,8
11/30/2022,182,89,24,15,6,6
12/1/2022,152,78,7,17,5,7
12/2/2022,152,69,25,15,7,5
12/3/2022,124,58,20,13,5,6
12/4/2022,106,67,12,12,7,4
12/5/2022,120,46,12,12,4,4
12/6/2022,69,37,13,13,5,5
12/7/2022,60,51,17,12,4,3
12/8/2022,70,60,18,13,5,4
12/9/2022,89,61,18,13,6,4
12/10/2022,86,65,19,13,7,5
12/11/2022,125,42,18,17,9,6
12/12/2022,89,71,20,16,7,6
12/13/2022,128,59,27,17,7,6
12/14/2022,113,67,11,15,6,6
12/15/2022,98,79, ,17,5,7
12/16/2022,132,77, ,14,6,5
12/17/2022,123,67, ,11,5,4
12/18/2022,101,87,38,12,10,6
12/19/2022,148,123,43,19,10,8
12/20/2022,179,112,47,20,8,7
12/21/2022,164,114, ,34,7,9
12/22/2022,171,148,36,25,8,8
12/23/2022,198,146,37,24,8,10
12/24/2022,189,155,62,27,7,12
12/25/2022,197,144,49,23,7,10
12/26/2022,203,127,57,23,7,9
12/27/2022,188,125,44,26,7,9
12/28/2022,181,83,41,28,8,7
12/29/2022,146,105,27,26,7,7
12/30/2022,155,131,36,26,7,8
12/31/2022,179,138,31,28,10,9
1/1/2023,174,154,41,34,10,9
1/2/2023,190,166,49,29,10,11
1/3/2023,231,132,53,31,9,9
1/4/2023,199,162,58,34,10,12
1/5/2023,217,213,41,31,9,13
1/6/2023,258,188,43,25,11,12
1/7/2023,273,268,26,33,9,16
1/8/2023,331,385,27,46,10,19
1/9/2023,361,450,4,48,11,22
1/10/2023,393,442,44,40,11,16
1/11/2023,399,336,28,34,12,4
1/12/2023,358,830, ,39,10,5
1/13/2023,660,365,8,19,10,4
1/14/2023,357,257, ,26,11,4
1/15/2023,289,145, ,35,9,5
1/16/2023,183,153, ,32,10,2
1/17/2023,221,122,2,31,10,4
1/18/2023,187,143, ,27,10,3
1/19/2023,196,176, ,30,11,4
1/20/2023,250,265, ,36,13,4
1/21/2023,304,429, ,40,10,4
1/22/2023,412,420, ,42,13,3
1/23/2023,410,385, ,48,12,8
1/24/2023,359,366, ,45,10,7
1/25/2023,343,157,2,25,9,3
1/26/2023,210,102,14,18,8,2
1/27/2023,156,137,25,22,8,3
1/28/2023,199,160,32,31,9,5
1/29/2023,201,239,48,30,11,5
1/30/2023,252,193,52,30,10,2
1/31/2023,244,262,54,40,13,4
2/1/2023,266,108,24,21,9,2
2/2/2023,165,98,28,20,8,2
2/3/2023,153,118,36,22,9,2
2/4/2023,173,118,39,22,15,2
2/5/2023,173,80,25,18,10,2
2/6/2023,129,45,17,12,5,2
2/7/2023,75,56,25,17,4,3
2/8/2023,104,102,23,25,6,6
2/9/2023,165,128,18,25,5,6
2/10/2023,182, , , , , 
2/11/2023,198,206,43,42,11,10
2/12/2023,263,294,48,55,9,16
2/13/2023,323,280,34,52,14,11
2/14/2023,322,215,32,39,8,15
2/15/2023,224,317,31,40,8,18
2/16/2023,320,255,32,41,7,18
2/17/2023,285,264,39,41,7,14
2/18/2023,299,334,45,39,9,20
2/19/2023,381,241,16,31,7,13
2/20/2023,339,78,19,16,7,7
2/21/2023,165,61,21,16,6,6
2/22/2023,128,90,17,17,6,7
2/23/2023,167,75,11,19,5,6
2/24/2023,159,84,13,28,5,8
2/25/2023,176,106,23,28,5,8
2/26/2023,192,231,14,37,5,16
2/27/2023,317,296,11,42,7,18
2/28/2023,355,183,10,51,5,12
3/1/2023,257,105,11,38,4,10
3/2/2023,188,147,8,33,5,15
3/3/2023,230,194,14,32,6,14
3/4/2023,264,118,9,27, ,7
3/5/2023,194,131,14,29, ,9
3/6/2023,209,184,6,27,5,9
3/7/2023,243,192,11,25,6,9
3/8/2023,268,198,18,22,5,10
3/9/2023,281, , , , , 
3/10/2023,145,119,30,15,4,4
3/11/2023,149,84,24,17,4,4
3/12/2023,125,58,13,17,5,4
3/13/2023,106,59,21,22,14,5
3/14/2023,126,59,30,23,10,4
3/15/2023,116,56,31,14,12,4
3/16/2023,117,92,38,18,9,5
3/17/2023,139,80,18,20,7,4
3/18/2023,121,268,18,20,9,11
3/19/2023,160,297,16,14,8,3
3/20/2023,159,391,9,17,6,5
3/21/2023,163,266,14,11,6,5
3/22/2023,143,150,16,12,6,3
3/23/2023,124,64,12,12,6,5
3/24/2023,85,36,17,12,6,6
3/25/2023,79,38,24,10,5,6
3/26/2023,74,48,33,15,6,6
3/27/2023,93,92,68,19,10,8
3/28/2023,152,69,16,23,6,5
3/29/2023,130,64,17,20,5,19
3/30/2023,133,62,20,21,5,11
3/31/2023,136,60,16,30,5,18
4/1/2023,131,103,25,31,5,7
4/2/2023,138,42,12,22,5,6
4/3/2023,57,52,16,19,6,5
4/4/2023,98,25,14,12,5,5
4/5/2023,77,23,13,12,5,4
4/6/2023,69,28,15,17,6,4
4/7/2023,67,38,15,20,5,5
4/8/2023,77,39,19,18,5,4
4/9/2023,80,58,26,20,7,6
4/10/2023,103,50,18,23,5,5
4/11/2023,68,33,12,20,4,6
4/12/2023,80,41,17,22,6,5
4/13/2023,98,63,30,31,7,7
4/14/2023,137,71,4,30,5,7
4/15/2023,136,32,9,22,4,5
4/16/2023,63,32,23,14,6,5
4/17/2023,72,30,13,11,6,16
4/18/2023,46,31,25,10,6,10
4/19/2023,62,48,28,18,6,16
4/20/2023,91,45,17,21,6,11
4/21/2023,74,38,12,21,5,9
4/22/2023,73,36,23,17,6,8
4/23/2023,76,39,16,16,5,5
4/24/2023,68,23,12,8,5,4
4/25/2023,53, ,8,8,5,5
4/26/2023,46,28,3,9,4,6
4/27/2023,50,50,7,12,5,8
4/28/2023,110,50,21,17,7,5
4/29/2023,91,76,13,17,5,6
4/30/2023,119,79,11,32,5,6
5/1/2023,124,87,14,30,5,9
5/2/2023,131,78,15,25,5,6
5/3/2023,135,64,16,22,6,7
5/4/2023,130,36,16,14,5,4
5/5/2023,55,44,14,12,5,5
5/6/2023,88,54,25,16,6,5
5/7/2023,106,59,27,15,6,7
5/8/2023,100,56,24,15,6,5
5/9/2023,99,70,29,15,5,6
5/10/2023,129,56,15,19,5,6
5/11/2023,97,51,27,16,5,5
5/12/2023,101,85,24,17,6,7
5/13/2023,154,81,21,19,6,7
5/14/2023,136,52,18,16,5,6
5/15/2023,92,59,24,17,6,5
5/16/2023,94,60,36,19,5,6
5/17/2023,97,40,18,12,5,4
5/18/2023,79,71,27,13,6,5
5/19/2023,128,68,27,14,5,5
5/20/2023,135,95,43,17,5,8
5/21/2023,159,78,25,20,5,5
5/22/2023,134,57,27,16,5,5
5/23/2023,94,45,21,12,4,5
5/24/2023,78,37,15,11,4,5
5/25/2023,79,72,32,16,5,6
5/26/2023,130,74,34,16,5,5
5/27/2023,133,58,28,13,6,4
5/28/2023,95,42,19,9,6,4
5/29/2023,59,61,37,13,8,4
5/30/2023,107,74,29,17,7,6
5/31/2023,141,42,16,20,5,3
6/1/2023,71,39,27,16,6,5
6/2/2023,80,50,15,18,4,6
6/3/2023,86,48,17,17,4,6
6/4/2023,77,41,7,14,5,6
6/5/2023,69,34,8,9,6,4
6/6/2023,51,37,9,10,6,6
6/7/2023,69,29,14,9,7,5
6/8/2023,55,49,27,11,6,6
6/9/2023,88,67,16,15,7,7
6/10/2023,118,160,49,27,27,5
6/11/2023,184,139,40,24,24,5
6/12/2023,161,135,85,30,26,7
6/13/2023,204,226,86,35,25,9
6/14/2023,197,180,37,27,24,5
6/15/2023,168,234,29,32,22,8
6/16/2023,217,197,48,29,16,4
6/17/2023,155,142,58,27,19,6
6/18/2023,183,163,36,31,17,6
6/19/2023,158,127,39,28,19,4
6/20/2023,148,117,33,25,14,3
6/21/2023,119,106,29,23,16,3
6/22/2023,116,112,28,24,17,2
6/23/2023,119,110,26,24,17,3
6/24/2023,100,161,28,19,12,3
6/25/2023,94,53,28,16,11,2
6/26/2023,80,76,37,18,9,3
6/27/2023,100,103,35,27,20,4
6/28/2023,131,132,45,26,29,5
6/29/2023,172,128,40,20,15,4
6/30/2023,115,150,44,27,22,5
7/1/2023,162,160,42,28,19,6
7/2/2023,149,219,73,27,24,7
7/3/2023,182,165,62,25,16,5
7/4/2023,162,161,35,27,21,4
7/5/2023,160,179,30,15,9,1
7/6/2023,119, , , , , 
7/7/2023,162,193,44,16,13,4
7/8/2023,140,74,40,16,10,3
7/9/2023,101,114,35,21,16,4
7/10/2023,132,159,39,16,25,6
7/11/2023,167,299,40,22,31,9
7/12/2023,242,243,25,20,22,6
7/13/2023,161,362,33,26,28,9
7/20/2023,241,328,44,26,27,8
7/21/2023,227,304,33,14,19,5
7/22/2023,184,157,37,17,21,5
7/23/2023,170,443,39,18,17,5
7/24/2023,220,219,56,15,25,5
7/25/2023,180,77,33,18,12,4
7/26/2023,129,107,23,25,17,5
7/27/2023,154,101,34,30,13,4
7/28/2023,121,351,25,26,15,5
7/29/2023,147,65,30,20,13,3
7/30/2023,98,104,40,19,20,4
7/31/2023,156,191,36,25,22,5
8/1/2023,165,139,35,19,22,5
8/2/2023,150,141,28,21,20, 
8/3/2023,145,273,46,23,29,4
8/4/2023,200,80,16,31,13,5
8/5/2023,107,80,27,17,15,3
8/6/2023,104,94,34,16,22,3
8/7/2023,122,130,35,19,25,4
8/8/2023,164,112,42,17,19,3
8/9/2023,91,149,40,21,28,4
8/10/2023,157,134,37,16,17,4
8/11/2023,119,250,46,18,25,5
8/12/2023,164,222,51,24,28,8
8/13/2023,184,129,42,19,18,5
8/14/2023,160,220,36,18,20,5
8/15/2023,151,105,45,13,18,4
8/16/2023,140,126,41,17,21,7
8/17/2023,163,194,44,22,18,6
8/18/2023,154,99,44,15,18,36
8/19/2023,149,169,53,31,5,11
8/20/2023,158,190,52,31,6,5
8/21/2023,170,179,38,30,5,5
8/22/2023,148,466,22,21,5,4
8/23/2023,164,168,37,13,4,2
8/24/2023,126,110,32,16,5,3
8/25/2023,126,128,42,16,5,3
8/26/2023,132,168,37,17,6,4
8/27/2023,154,121,23,8,5,1
8/28/2023,105,87,21,10,5,2
8/29/2023,103,31,26,10,4,1
8/30/2023,72,111,31,23,5,3
8/31/2023,156,92,68,20,4,3
9/1/2023,118,116,50,20,5,5
9/2/2023,163,104,35,17,5,3
9/3/2023,145,89,26,7,4,3
9/4/2023,111,52,14,32,5,2
9/5/2023,83,64,25,18,6,9
9/6/2023,133,87,27,17,5,13
9/7/2023,138,160,27,24,5,17
9/8/2023,138,160,20,18,7,4
9/9/2023,130,218,20,14,6,3
9/10/2023,134,158,13,19,4,10
9/11/2023,135,112,16,16,5,4
9/12/2023,326,340,24,52,12,14
9/13/2023,376,417,20,51,13,16
9/14/2023,408,217,10,47,12,10
9/15/2023,286,216,19,42,11,10
9/16/2023,272,87,8,33,12,4
9/17/2023,176,145,14,44,18,7
9/18/2023,229,125,18,41,12,5
9/19/2023,200,137,4,30,14,6
9/20/2023,202,171,11,49,13,9
9/21/2023,225,200,25,37,13,11
9/22/2023,285,361,28,51,15,16
9/23/2023,383,252,25,42,13,10
9/24/2023,299,94,22,32,12,4
9/25/2023,167,136,16,35,14,6
9/26/2023,206,297,24,39,14,15
9/27/2023,334,234,25,40,17,8
9/28/2023,301,224,19,39,10,10
9/29/2023,279,281,25,38,15,11
9/30/2023,306,263,42,45,16,15
10/1/2023,311,219,20,44,13,9
10/2/2023,257,48,18,24,11,3
10/3/2023,118,130,21,27,17,7
10/4/2023,198,79,21,21,11,3
10/5/2023,152,79,19,24,16,4
10/6/2023,157,90,26,21,11,4
10/7/2023,162,116,23,22,15,5
10/8/2023,196,118,27,26,17,5
10/9/2023,195,129,27,34,17,6
10/10/2023,211,211,29,32,27,6
10/11/2023,270,158,26,40,16,7
10/12/2023,214,148,20,38,13,8
10/13/2023,241,146,16,28,11,6
10/14/2023,227,117,15,27,8,6
10/15/2023,187,165,20,27,13,9
10/16/2023,217,174,15,39,17,10
10/17/2023,240,174,22,42,15,11
10/18/2023,241,73,14,25,11,4
10/19/2023,155,85,21,20,13,5
10/20/2023,142,91,24,19,13,4
10/21/2023,154,140,26,26,15,7
10/22/2023,199,162,32,30,17,9
10/23/2023,203,216,37,36,17,11
10/24/2023,237,196,38,45,15,12
10/25/2023,244,156,21,37,14,11
10/26/2023,232,101,22,25,16,7
10/27/2023,186,100,17,21,14,5
10/28/2023,177,98,32,22,11,5
10/29/2023,167,114,24,30,14,6
10/30/2023,174,118,38,29,12,7
10/31/2023,190,84,13,25,11,6
11/1/2023,153,93,25,25,14,5
11/2/2023,150,89,19,24,11,4
11/3/2023,143,70,28,18,14,3
11/4/2023,135,95,35,22,13,4
11/5/2023,160,118,38,23,14,6
11/6/2023,171,64,24,21,15,3
11/7/2023,130,43,14,14,12,2
11/8/2023,101,120,2,28,15,8
11/9/2023,172,73,26,21,12,7
11/10/2023,108,118,8,34,14,8
11/11/2023,209,63,30,18,13,4
11/12/2023,148,71,20,18,13,3
11/13/2023,140,92,25,20,13,4
11/14/2023,151,96,17,21,16,4
11/15/2023,157,142,39,21,14,4
11/16/2023,160,109,38,24,16,4
11/17/2023,165,97,30,22,16,4
11/18/2023,135,94,39,22,16,4
11/19/2023,141,112,38,25,17,5
11/20/2023,157,69,31,24,9,3
11/21/2023,123,123,25,31,21,4
11/22/2023,162,119,19,31,14,6
11/23/2023,166,83,31,25,12,4
11/24/2023,135,85,22,24,14,3
11/25/2023,152,110,37,29,17,4
11/26/2023,156,123,38,31,17,5
11/27/2023,168,128,36,31,14,5
11/28/2023,164,174,17,40,21,9
11/29/2023,201, , , , , 
11/30/2023,84,85,36,18,16,3
12/1/2023,126,80,30,20,15,3
12/2/2023,121,95,24,21,16,3
12/3/2023,144,103,32,22,17,4
12/4/2023,146,124,35,25,23,5
12/5/2023,163,198,41,28,27,7
12/6/2023,212,173,33,33,14,8
12/7/2023,176,152,46,33,18,7
12/8/2023,185,100,32,22,16,3
12/9/2023,128,98,34,19,18,3
12/10/2023,206,134,19,31,14,7
12/11/2023,160,254,25,38,13,13
12/12/2023,248,290,23,45,13,14
12/13/2023,262,367,17,48,12,19
12/14/2023,307,199,21,46,11,15
12/15/2023,209,300,14,50,10,20
12/16/2023,276,238,23,41,9,10
12/17/2023,249,244,27,37,12,10
12/18/2023,272,216,28,37,17,12
12/19/2023,267,251,26,40,10,12
12/20/2023,308,233,24,36,9,10
12/21/2023,302,194,19,33,10,9
12/22/2023,272,80,17,28,9,4
12/23/2023,155,101,18,31,9,4
12/24/2023,172,121,17,34,11,5
12/25/2023,187,143,23,40,13,6
12/26/2023,220,206,23,47,11,10
12/27/2023,249,206,29,46,13,8
12/28/2023,261,262,25,49,14,11
12/29/2023,305,358,28,48,15,16
12/30/2023,360,259,29,52,12,10
12/31/2023,310,313,31,41,13,12
1/1/2024,366,300,35,37,9,15
1/2/2024,374,361,22,47,12,15
1/3/2024,367,199,21,45,10,8
1/4/2024,277,236,22,39,11,11
1/5/2024,310,263,24,41,12,13
1/6/2024,327,237,18,47,11,8
1/7/2024,310,280,22,44,11,11
1/8/2024,329,417,23,45,17,18
1/9/2024,391, , , , , 
1/10/2024,329,63,18,7,2,10
1/11/2024,310,175,27,16,7,11
1/12/2024,327,164,1,12,6,6
1/13/2024,277,147,66,5,11,5
1/14/2024,367,117,35,9,7,12
1/15/2024,360,169, ,21,7,9
1/16/2024,283,57,12,6,3,44
1/17/2024,293,104, ,5,4,7
1/18/2024,301,103,36,5,4,6
1/19/2024,337,96,22,15,5,4
1/20/2024,264,180,25,23,6,12
1/21/2024,287,169,6,28,7,11
1/22/2024,287,138,24,44,6,10
1/23/2024,339,181,53,21,13,5
1/24/2024,379,312,19,48,15,11
1/25/2024,366,71,35,21,13,2
1/26/2024,302,157,23,29,12,5
1/27/2024,232, ,32,6,5,14
